movie_id,title,year,genres,overview,source,status
33,Wings of Courage (1995),1995,Adventure|Romance,,,no_description
56,Kids of the Round Table (1995),1995,Adventure|Children's|Fantasy,,,no_description
73,"Misérables, Les (1995)",1995,Drama|Musical,,,no_description
83,Once Upon a Time... When We Were Colored (1995),1995,Drama,,,no_description
96,In the Bleak Midwinter (1995),1995,Comedy,,,no_description
106,Nobody Loves Me (Keiner liebt mich) (1994),1994,Comedy|Drama,,,no_description
121,"Boys of St. Vincent, The (1993)",1993,Drama,,,no_description
126,"NeverEnding Story III, The (1994)",1994,Adventure|Children's|Fantasy,,,no_description
128,Jupiter's Wife (1994),1994,Documentary,,,no_description
129,Pie in the Sky (1995),1995,Comedy|Romance,,,no_description
142,Shadows (Cienie) (1988),1988,Drama,,,no_description
143,Gospa (1995),1995,Drama,,,no_description
157,Canadian Bacon (1994),1994,Comedy|War,,,no_description
183,Mute Witness (1994),1994,Thriller,,,no_description
224,Don Juan DeMarco (1995),1995,Comedy|Drama|Romance,,,no_description
230,Dolores Claiborne (1994),1994,Drama|Thriller,,,no_description
248,Houseguest (1994),1994,Comedy,,,no_description
250,Heavyweights (1994),1994,Children's|Comedy,,,no_description
255,"Jerky Boys, The (1994)",1994,Comedy,,,no_description
267,Major Payne (1994),1994,Comedy,,,no_description
269,My Crazy Life (Mi vida loca) (1993),1993,Drama,,,no_description
284,New York Cop (1996),1996,Action|Crime,,,no_description
285,Beyond Bedlam (1993),1993,Drama|Horror,,,no_description
287,Nina Takes a Lover (1994),1994,Comedy|Romance,,,no_description
291,Poison Ivy II (1995),1995,Thriller,,,no_description
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",1994,Crime|Drama|Romance|Thriller,,,no_description
304,Roommates (1995),1995,Comedy|Drama,,,no_description
305,Ready to Wear (Pret-A-Porter) (1994),1994,Comedy,,,no_description
311,Relative Fear (1994),1994,Horror|Thriller,,,no_description
322,Swimming with Sharks (1995),1995,Comedy|Drama,,,no_description
325,National Lampoon's Senior Trip (1995),1995,Comedy,,,no_description
328,Tales From the Crypt Presents: Demon Knight (1995),1995,Horror,,,no_description
346,Backbeat (1993),1993,Drama|Musical,,,no_description
366,Wes Craven's New Nightmare (1994),1994,Horror,,,no_description
370,Naked Gun 33 1/3: The Final Insult (1994),1994,Comedy,,,no_description
